TIMESTAMP,RECORD,Temp_degC,EC_uScm,pH,DO_Sat,DO_mg,Turbidity_NTU,Chloraphylla_ugL
"2017-01-01 00:03:30",61343,28.94,36510,7.91,90.5,6.14,1.4,6.1
"2017-01-01 00:33:30",61344,28.96,36260,7.88,89,6.04,1.9,6
"2017-01-01 01:03:30",61345,29.04,35810,7.84,85.2,5.78,1.5,5.8
"2017-01-01 01:33:30",61346,29.06,35530,7.83,84.6,5.75,1.1,4.8
"2017-01-01 02:03:30",61347,29.01,34740,7.8,83.7,5.71,1,4.3
"2017-01-01 02:33:30",61348,29,34250,7.79,84.4,5.77,0.8,4.2
"2017-01-01 03:03:30",61349,29.02,33880,7.8,83.6,5.72,0.8,4.1
"2017-01-01 03:33:30",61350,29.02,33460,7.79,84.6,5.8,0.2,3.6
"2017-01-01 04:03:30",61351,29.06,32800,7.78,84.9,5.82,0,4.7
"2017-01-01 04:33:30",61352,29.05,32300,7.78,85.6,5.89,0.1,3.6
"2017-01-01 05:03:30",61353,29.03,31860,7.78,85.9,5.92,0,5
"2017-01-01 05:33:30",61354,29.01,31690,7.77,85.9,5.93,-0.2,5.3
"2017-01-01 06:03:30",61355,29.12,31950,7.78,86.3,5.93,0.4,8.9
"2017-01-01 06:33:30",61356,29.11,32490.002,7.78,85,5.83,1.2,8.7
"2017-01-01 07:03:30",61357,29.12,33190,7.78,84.4,5.78,1.3,5.4
"2017-01-01 07:33:30",61358,29.14,33320,7.83,90.4,6.18,1,11.4
"2017-01-01 08:03:30",61359,29.22,33130,7.89,95.9,6.56,1,20.9
"2017-01-01 08:33:30",61360,29.12,35000,7.82,85,5.78,1.7,6.4
"2017-01-01 09:03:30",61361,29.17,34880,7.92,97.8,6.65,1.1,14.1
"2017-01-01 09:33:30",61362,29.13,35550,7.9,93.4,6.34,2.2,8.6
"2017-01-01 10:03:30",61363,29.26,35850,7.85,86.4,5.84,2.1,5.3
"2017-01-01 10:33:30",61364,29.44,36610,7.9,91.9,6.18,1.3,6.3
"2017-01-01 11:03:30",61365,29.55,37460,7.94,95,6.36,1.1,7
"2017-01-01 11:33:30",61366,30.01,36920,8.1,117.7,7.83,0.7,12.1
"2017-01-01 12:03:30",61367,29.81,37360,8,100.8,6.72,1.1,8.9
"2017-01-01 12:33:30",61368,29.93,37030,7.99,102.5,6.83,1.6,9.2
"2017-01-01 13:03:30",61369,29.82,36890,7.98,102.1,6.81,1.8,10.2
"2017-01-01 13:33:30",61370,29.8,36630,7.97,100.8,6.74,1.8,10.1
"2017-01-01 14:03:30",61371,29.94,36420,7.96,100.5,6.7,1.4,10.1
"2017-01-01 14:33:30",61372,30.09,36030,7.94,99.3,6.62,1.3,10.1
"2017-01-01 15:03:30",61373,30.24,35470,7.96,102.2,6.81,1.1,10.6
"2017-01-01 15:33:30",61374,30.25,35060,7.96,103.5,6.91,1.1,11.2
"2017-01-01 16:03:30",61375,30.29,34700,7.97,104.8,7,1.1,11.1
"2017-01-01 16:33:30",61376,30.33,34270,7.99,107.9,7.22,4.5,9.9
"2017-01-01 17:03:30",61377,30.37,33730,8.02,110.9,7.42,0.9,11.2
"2017-01-01 17:33:30",61378,30.37,33420,8.03,112.5,7.54,1.2,11.6
"2017-01-01 18:03:30",61379,30.32,33220,8.03,112.7,7.57,0.7,9.2
"2017-01-01 18:33:30",61380,30.25,33280,8.03,112.3,7.54,0.8,9.8
"2017-01-01 19:03:30",61381,30.06,33590,7.97,108.3,7.29,2.2,11.2
"2017-01-01 19:33:30",61382,29.98,33970,7.97,106.3,7.15,2.7,12.5
"2017-01-01 20:03:30",61383,29.92,34400,7.95,104.5,7.03,2.7,15.4
"2017-01-01 20:33:30",61384,29.9,35080,7.95,101.7,6.83,3.4,10.9
"2017-01-01 21:03:30",61385,29.85,35580,7.95,102,6.84,2.6,12
"2017-01-01 21:33:30",61386,29.73,36250,7.98,101.9,6.82,1.9,10.6
"2017-01-01 22:03:30",61387,29.6,37030,7.98,100.7,6.74,1.7,9.6
"2017-01-01 22:33:30",61388,29.49,36790,7.96,98.1,6.59,1.5,7.7
"2017-01-01 23:03:30",61389,29.52,37150,7.96,98.5,6.6,1.4,7.8
"2017-01-01 23:33:30",61390,29.46,37370,7.96,98.1,6.57,0.9,8.2
"2017-01-02 00:03:30",61391,29.37,37370,7.98,98.4,6.6,0.6,8.6
"2017-01-02 00:33:30",61392,29.26,37430,7.97,96.7,6.5,0.6,7.9
"2017-01-02 01:03:30",61393,29.32,37260,7.94,93.6,6.29,1.4,7.4
"2017-01-02 01:33:30",61394,29.39,36900,7.91,91.3,6.14,1.3,6.4
"2017-01-02 02:03:30",61395,29.42,36580,7.9,90.3,6.07,1.1,6
"2017-01-02 02:33:30",61396,29.39,36220,7.88,89.2,6.01,0.8,5.5
"2017-01-02 03:03:30",61397,29.39,35710,7.86,88.1,5.95,1.4,4.8
"2017-01-02 03:33:30",61398,29.38,35120,7.87,89.4,6.05,1,4.2
"2017-01-02 04:03:30",61399,29.38,34430,7.89,89.5,6.08,0.7,4.5
"2017-01-02 04:33:30",61400,29.38,33840,7.88,90,6.12,0.6,4.4
"2017-01-02 05:03:30",61401,29.18,31830,7.88,90.9,6.25,7.4,4.6
"2017-01-02 05:33:30",61402,29.35,32759.998,7.86,90.4,6.18,0.2,5.4
