TIMESTAMP,RECORD,Temp_degC,EC_uScm,pH,DO_Sat,DO_mg,Turbidity_NTU,Chloraphylla_ugL
"2018-01-01 00:03:00",73420,29.2,30210,7.88,85,5.88,878,9.3
"2018-01-01 00:33:00",73421,29.31,16290.001,7.86,83.7,6.08,879,7.3
"2018-01-01 01:03:00",73422,29.26,28750,7.86,83.4,5.79,378.7,7.3
"2018-01-01 01:33:00",73423,29.25,15870,7.84,83.6,6.08,437.8,7.2
"2018-01-01 02:03:00",73424,29.24,17020,7.82,82.5,5.98,383,7.6
"2018-01-01 02:33:00",73425,29.2,14800,7.81,81.6,5.97,355.1,7.2
"2018-01-01 03:03:00",73426,29.16,22690,7.82,81.6,5.81,508.1,7.3
"2018-01-01 03:33:00",73427,29.13,14870,7.84,81.6,5.97,391.1,6.8
"2018-01-01 04:03:00",73428,29,15470,7.83,81.3,5.95,480.7,7.5
"2018-01-01 04:33:00",73429,28.81,14680,7.82,80.9,5.96,401.5,8.1
"2018-01-01 05:03:00",73430,28.74,14100,7.82,81,5.98,487.6,7.7
"2018-01-01 05:33:00",73431,28.79,15310,7.83,80.5,5.92,389.4,7.4
"2018-01-01 06:03:00",73432,28.82,29160,7.84,79.4,5.55,520.7,7.1
"2018-01-01 06:33:00",73433,28.94,20820,7.84,78.2,5.62,377.4,5.9
"2018-01-01 07:03:00",73434,29.12,32820,7.85,76.6,5.25,375.5,7
"2018-01-01 07:33:00",73435,29.19,32700,7.86,77.5,5.31,383.1,6.2
"2018-01-01 08:03:00",73436,29.29,33790,7.87,78.7,5.36,372.3,6.2
"2018-01-01 08:33:00",73437,29.36,35420,7.88,77.6,5.25,389.1,6.2
"2018-01-01 09:03:00",73438,29.48,35750,7.9,79.1,5.33,402.2,6.1
"2018-01-01 09:33:00",73439,29.59,34550,7.89,79.2,5.35,426.3,7
"2018-01-01 10:03:00",73440,29.68,33650,7.87,79.6,5.39,425.9,6.2
"2018-01-01 10:33:00",73441,29.7,33250,7.87,78.8,5.34,377.1,7.1
"2018-01-01 11:03:00",73442,29.81,32550,7.87,79.9,5.42,331.2,7.4
"2018-01-01 11:33:00",73443,29.95,31900,7.87,81,5.5,420.2,6.8
"2018-01-01 12:03:00",73444,30.04,31290,7.88,82.2,5.58,356.6,7.2
"2018-01-01 12:33:00",73445,30.1,30900,7.87,83.1,5.65,409.4,7.9
"2018-01-01 13:03:00",73446,30.17,21070,7.88,84.8,5.97,347.3,8.9
"2018-01-01 13:33:00",73447,30.27,29730,7.89,87,5.92,380,10.9
"2018-01-01 14:03:00",73448,30.33,29240,7.89,88.5,6.03,381.8,10.5
"2018-01-01 14:33:00",73449,30.55,28610,7.92,92.4,6.29,380.7,11.8
"2018-01-01 15:03:00",73450,30.6,27820,7.92,93.3,6.36,347.1,13.2
"2018-01-01 15:33:00",73451,30.6,26930,7.94,95.5,6.53,314.8,14.6
"2018-01-01 16:03:00",73452,30.5,26300,7.94,95,6.52,387.9,13.6
"2018-01-01 16:33:00",73453,30.36,28340,7.9,90.5,6.18,349.7,10.6
"2018-01-01 17:03:00",73454,30.27,15320,7.86,88.1,6.32,411.8,10.5
"2018-01-01 17:33:00",73455,30.29,15410,7.89,89.7,6.42,387.9,12.2
"2018-01-01 18:03:00",73456,30.12,28780,7.88,87.5,5.99,372.3,10.6
"2018-01-01 18:33:00",73457,30.02,30390,7.87,83.4,5.69,386.6,8.4
"2018-01-01 19:03:00",73458,29.87,17030,7.87,82.2,5.9,375.1,8
"2018-01-01 19:33:00",73459,29.82,31790,7.86,80.6,5.48,246,6.9
"2018-01-01 20:03:00",73460,29.86,18890,7.85,80,5.7,374.1,6.1
"2018-01-01 20:33:00",73461,29.74,31310,7.86,80.9,5.53,389.2,6.9
"2018-01-01 21:03:00",73462,29.65,18900,7.86,81.4,5.82,231.2,6.8
"2018-01-01 21:33:00",73463,29.56,30760,7.86,79.9,5.48,354.2,6.4
"2018-01-01 22:03:00",73464,29.61,18190,7.86,80.5,5.78,407.5,6.9
"2018-01-01 22:33:00",73465,29.58,18180,7.85,80.9,5.81,349,7.7
"2018-01-01 23:03:00",73466,29.4,25050,7.84,81.9,5.76,373.7,7.8
"2018-01-01 23:33:00",73467,29.29,11820,7.79,80.7,5.95,376.5,8.5
"2018-01-02 00:03:00",73468,29.17,14780,7.76,79.7,5.83,445.7,8.5
