"TIMESTAMP","RECORD","Temp_degC","EC_uScm","pH","DO_Sat","DO_mg","Turbidity_NTU","Chloraphylla_ugL"
"2014-01-01 00:03:30",15405,30.06,39660,7.7,86.8,5.71,1.2,3.4
"2014-01-01 00:33:30",15406,30.07,39200,7.68,86.1,5.67,1.8,3.8
"2014-01-01 01:03:30",15407,30.06,38780,7.66,85.6,5.65,1.7,3.1
"2014-01-01 01:33:30",15408,30.08,38120,7.67,85.1,5.63,0.9,3.6
"2014-01-01 02:03:30",15409,30.05,37370,7.67,84.7,5.62,0.5,3.5
"2014-01-01 02:33:30",15410,29.99,37050,7.65,84,5.58,0.7,3.1
"2014-01-01 03:03:30",15411,29.95,36640,7.65,83.7,5.58,0.4,3.4
"2014-01-01 03:33:30",15412,29.9,36480,7.65,83.3,5.56,0.6,3.3
"2014-01-01 04:03:30",15413,29.88,36700,7.66,83.9,5.6,0.7,3.3
"2014-01-01 04:33:30",15414,29.91,37370,7.66,83.9,5.58,1,3.2
"2014-01-01 05:03:30",15415,29.91,37620,7.66,83.7,5.56,0.9,3.3
"2014-01-01 05:33:30",15416,29.86,38890,7.66,84.2,5.57,2.1,3.6
"2014-01-01 06:03:30",15417,29.82,39340,7.67,84.7,5.6,2.4,4
"2014-01-01 06:33:30",15418,29.68,40770,7.69,84.6,5.57,9.1,4.3
"2014-01-01 07:03:30",15419,29.55,42020,7.7,84.7,5.57,12.3,3.9
"2014-01-01 07:33:30",15420,29.46,43280,7.72,85.2,5.58,14.1,3.9
"2014-01-01 08:03:30",15421,29.45,43770,7.73,85.7,5.6,11.8,3.7
"2014-01-01 08:33:30",15422,29.57,43680,7.73,85.7,5.59,6.8,3.6
"2014-01-01 09:03:30",15423,29.51,43950,7.74,86.2,5.62,6,3.4
"2014-01-01 09:33:30",15424,29.52,43900,7.74,85.9,5.61,6.9,3.3
"2014-01-01 10:03:30",15425,29.66,43270,7.73,87.1,5.68,10.9,3.6
"2014-01-01 10:33:30",15426,29.77,42780,7.73,87.2,5.69,8.9,4.3
"2014-01-01 11:03:30",15427,29.81,42330,7.72,86.6,5.66,6.7,3.7
"2014-01-01 11:33:30",15428,29.94,41830,7.71,86.3,5.64,5.6,3.6
"2014-01-01 12:03:30",15429,30.08,41280,7.71,86.9,5.68,4.2,3.2
